from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022001001551002,9022001001551004,1,,14010000594380114,14010000582822681
9022001001551002,9022001001551004,1,,14010000594398066,14010000582811507
9022001001551002,9022001001551004,1,,14010000594399027,14010000582811625
9022001001551002,9022001001551004,1,,14010000606291644,14010000582822681
9022001001551002,9022001001551004,1,,14010000606291908,14010000606292111
9022001001551002,9022001001551004,1,,14010000606299847,14010000585904255
9022001001551002,9022001001551004,1,,14010000606300285,14010000585949117
9022001001551002,9022001001551004,1,,14010000614183403,14010000582822681
9022001001551003,9022001001551001,1,,14010000594381012,14010000582816879
9022001001551003,9022001001551001,1,,14010000594426426,14010000603269239
9022001001551003,9022001001551001,1,,14010000594427710,14010000603269759
9022001001551003,9022001001551001,1,,14010000594427900,14010000614176110
9022001001551003,9022001001551001,1,,14010000594428087,14010000614176145
9022001001551003,9022001001551001,1,,14010000585889928,14010000614183202
9022001001551003,9022001001551001,1,,14010000585890020,14010000582816152
9022001001551003,9022001001551001,1,,14010000585890226,14010000582816547
9022001001551003,9022001001551001,1,,14010000585907586,14010000606302548
9022001001551003,9022001001551001,1,,14010000585889953,14010000582816118
9022001001551003,9022001001551001,1,,14010000585889953,14010000614183327
9022001001551003,9022001001551001,1,,14010000585890093,14010000582816218
9022001001551003,9022001001551001,1,,14010000585890253,14010000582816613
9022001001551003,9022001001551001,1,,14010000585890280,14010000582816679
9022001001551003,9022001001551001,1,,14010000585890352,14010000585890394
9022001001551003,9022001001551001,1,,14010000585890352,14010000582816811
9022001001551003,9022001001551001,1,,14010000585890449,14010000585890564
9022001001551003,9022001001551001,1,,14010000585890585,14010000585890685
9022001001551003,9022001001551001,1,,14010000585890199,14010000582816481
9022001001551003,9022001001551001,1,,14010000585890325,14010000582816745
9022001001551003,9022001001551001,1,,14010000585906140,14010000606301659
9022001001551003,9022001001551001,1,,14010000585907400,14010000606302425
9022001001551003,9022001001551001,1,,14010000585890118,14010000582816283
9022001001551003,9022001001551001,1,,14010000585890146,14010000582816349
9022001001551003,9022001001551001,1,,14010000585890172,14010000582816415
9022001001551003,9022001001551001,1,,14010000585907769,14010000606302653
9022001001551003,9022001001551001,1,,14010000614183173,14010000614183202
9022001001551003,9022001001551001,1,,14010000614183297,14010000582816118
9022001001551003,9022001001551001,1,,14010000614183297,14010000614183327
9022001001551004,9022001001551004,1,,14010000594394324,14010000582823555
9022001007531001,9022001007531003,1,,14010000611282733,14010000611282786
9022001007531001,9022001007531003,1,,14010000611283045,14010000611283098
9022001007531001,9022001007531003,1,,14010000611283201,14010000611283254
9022001007531001,9022001007531003,1,,14010000611285475,14010000611285530
9022001007531001,9022001007531003,1,,14010000611285635,14010000611285690
9022001007531001,9022001007531003,1,,14010000611285849,14010000611282864
9022001007531001,9022001007531003,1,,14010000611285955,14010000611283020
9022001007531001,9022001007531003,1,,14010000611286211,14010000611283332
9022001007531001,9022001007531003,1,,14010000611286504,14010000611286561
9022001007531001,9022001007531003,1,,14010000611286795,14010000611284091
9022001007531001,9022001007531003,1,,14010000611286795,14010000611288322
9022001007531001,9022001007531003,1,,14010000611286946,14010000611284325
9022001007531001,9022001007531003,1,,14010000611286946,14010000611288388
9022001007531001,9022001007531003,1,,14010000611288102,14010000611283488
9022001007531001,9022001007531003,1,,14010000611282421,14010000611282474
9022001007531001,9022001007531003,1,,14010000611282655,14010000611282708
9022001007531001,9022001007531003,1,,14010000611282811,14010000611282864
9022001007531001,9022001007531003,1,,14010000611282889,14010000611282942
9022001007531001,9022001007531003,1,,14010000611283435,14010000611283488
9022001007531001,9022001007531003,1,,14010000611283591,14010000611283619
9022001007531001,9022001007531003,1,,14010000611283683,14010000611283697
9022001007531001,9022001007531003,1,,14010000611283763,14010000611283777
9022001007531001,9022001007531003,1,,14010000611283923,14010000611283937
9022001007531001,9022001007531003,1,,14010000611284003,14010000611284017
9022001007531001,9022001007531003,1,,14010000611284311,14010000611284325
9022001007531001,9022001007531003,1,,14010000611285395,14010000611285450
9022001007531001,9022001007531003,1,,14010000611286339,14010000611283488
9022001007531001,9022001007531003,1,,14010000611286381,14010000611283566
9022001007531001,9022001007531003,1,,14010000611286686,14010000611283937
9022001007531001,9022001007531003,1,,14010000611286686,14010000611288274
9022001007531001,9022001007531003,1,,14010000611286686,14010000611634002
9022001007531001,9022001007531003,1,,14010000611286904,14010000611284245
9022001007531001,9022001007531003,1,,14010000611286904,14010000611288370
9022001007531001,9022001007531003,1,,14010000611287536,14010000611285150
9022001007531001,9022001007531003,1,,14010000611287588,14010000611285290
9022001007531001,9022001007531003,1,,14010000611281850,14010000611281864
9022001007531001,9022001007531003,1,,14010000611282967,14010000611283020
9022001007531001,9022001007531003,1,,14010000611283357,14010000611283410
9022001007531001,9022001007531003,1,,14010000611283513,14010000611283566
9022001007531001,9022001007531003,1,,14010000611284231,14010000611284245
9022001007531001,9022001007531003,1,,14010000611284831,14010000611284847
9022001007531001,9022001007531003,1,,14010000611284913,14010000611284929
9022001007531001,9022001007531003,1,,14010000611284995,14010000611285011
9022001007531001,9022001007531003,1,,14010000611285077,14010000611285150
9022001007531001,9022001007531003,1,,14010000611285891,14010000611282942
9022001007531001,9022001007531003,1,,14010000611286019,14010000611283098
9022001007531001,9022001007531003,1,,14010000611286083,14010000611283176
9022001007531001,9022001007531003,1,,14010000611286147,14010000611283254
9022001007531001,9022001007531003,1,,14010000611286424,14010000611286479
9022001007531001,9022001007531003,1,,14010000611287732,14010000611285530
9022001007531001,9022001007531003,1,,14010000611281690,14010000611281704
9022001007531001,9022001007531003,1,,14010000611281770,14010000611281784
9022001007531001,9022001007531003,1,,14010000611281930,14010000611281944
9022001007531001,9022001007531003,1,,14010000611282010,14010000611282024
9022001007531001,9022001007531003,1,,14010000611282090,14010000611282104
9022001007531001,9022001007531003,1,,14010000611282170,14010000611282184
9022001007531001,9022001007531003,1,,14010000611282250,14010000611282318
9022001007531001,9022001007531003,1,,14010000611282343,14010000611282396
9022001007531001,9022001007531003,1,,14010000611282499,14010000611282552
9022001007531001,9022001007531003,1,,14010000611282577,14010000611282630
9022001007531001,9022001007531003,1,,14010000611283123,14010000611283176
9022001007531001,9022001007531003,1,,14010000611283279,14010000611283332
9022001007531001,9022001007531003,1,,14010000611283843,14010000611283857
9022001007531001,9022001007531003,1,,14010000611284077,14010000611284091
9022001007531001,9022001007531003,1,,14010000611284151,14010000611284165
9022001007531001,9022001007531003,1,,14010000611284391,14010000611284405
9022001007531001,9022001007531003,1,,14010000611285217,14010000611285290
9022001007531001,9022001007531003,1,,14010000611285315,14010000611285370
9022001007531001,9022001007531003,1,,14010000611285555,14010000611285610
